RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page,team_abbr,player_name,Effective_FG%,TS%
179,Jasmine JonesWGA,F,20,29.3,14.8,4.8,10.9,44.2,3.5,7.7,45.1,1.8,2.2,81.4,4.5,1.1,0.7,0.8,2.5,4,WGA,Jasmine Jones,60.09174311926605,62.35254465790361
181,Emani BennettKC,G,19,29.9,14.8,5.8,16.3,35.8,1.7,4.5,37.6,1.4,2.0,71.1,4.1,1.2,1.3,0.3,1.9,4,KC,Emani Bennett,40.79754601226993,43.0733410942957
182,Ella GallatinEWU,G,21,33.0,14.8,5.6,13.6,41.4,1.4,4.8,30.0,2.1,3.3,62.9,5.2,3.0,1.2,0.4,3.2,4,EWU,Ella Gallatin,46.32352941176471,49.16290193994154
183,Keyarah BerryKENN,G,19,29.1,14.7,5.8,11.9,48.7,0.3,1.3,20.8,2.9,4.8,59.8,5.0,0.9,2.0,0.2,1.7,4,KENN,Keyarah Berry,50.0,52.45503853839566
184,Jenna GuyerGB,C,18,28.9,14.7,5.3,11.6,45.9,2.0,5.1,39.1,2.1,2.5,82.2,6.2,1.8,1.4,0.7,1.7,4,GB,Jenna Guyer,54.310344827586206,57.874015748031496
184,Crystal SchultzPV,G,18,31.7,14.7,4.7,13.4,34.7,2.1,6.8,30.3,3.3,4.1,82.2,2.3,1.2,0.9,0.3,4.3,4,PV,Crystal Schultz,42.91044776119403,48.34254143646408
186,Talaysia CooperTENN,G,17,25.2,14.7,6.0,14.4,41.8,1.8,5.5,31.9,0.9,1.5,64.0,5.6,4.1,3.2,0.4,2.8,4,TENN,Talaysia Cooper,47.91666666666667,48.80478087649402
187,Meg CahalanHC,F,19,29.2,14.7,5.9,13.5,44.1,0.4,2.7,13.7,2.4,3.0,80.7,4.1,1.9,0.6,0.6,2.2,4,HC,Meg Cahalan,45.18518518518519,49.59514170040485
188,Tonie MorganUK,G,22,34.4,14.7,5.1,10.4,48.9,0.8,1.9,40.5,3.7,5.0,73.9,3.6,8.6,1.2,0.7,3.1,4,UK,Tonie Morgan,52.88461538461539,58.33333333333333
188,Carys BakerVT,F,22,31.0,14.7,5.6,12.6,44.4,1.8,5.0,36.7,1.7,2.2,77.1,6.5,1.5,0.5,0.8,1.0,4,VT,Carys Baker,51.587301587301596,54.17158018867924
